time_display,time_raw,src_host,src_port,dst_host,dst_port,sniffed,target_domain,ip,network,outbound,dialer,policy,dscp,mac,pid,pname,app,raw_line
2026-01-22 01:17:30,Jan 21 17:17:30,192.168.100.110,49188,91.108.56.115,443,,91.108.56.115,91.108.56.115:443,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:30"" level=info msg=""192.168.100.110:49188 <-> 91.108.56.115:443"" dialer=HK-3 dscp=0 ip=""91.108.56.115:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:17:30,Jan 21 17:17:30,192.168.100.110,49198,91.108.56.115,443,,91.108.56.115,91.108.56.115:443,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:30"" level=info msg=""192.168.100.110:49198 <-> 91.108.56.115:443"" dialer=HK-3 dscp=0 ip=""91.108.56.115:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:17:31,Jan 21 17:17:31,192.168.100.110,42456,149.154.171.255,443,,149.154.171.255,149.154.171.255:443,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:31"" level=info msg=""192.168.100.110:42456 <-> 149.154.171.255:443"" dialer=HK-3 dscp=0 ip=""149.154.171.255:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:17:31,Jan 21 17:17:31,192.168.100.110,42462,149.154.171.255,443,,149.154.171.255,149.154.171.255:443,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:31"" level=info msg=""192.168.100.110:42462 <-> 149.154.171.255:443"" dialer=HK-3 dscp=0 ip=""149.154.171.255:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:17:31,Jan 21 17:17:31,192.168.100.110,47774,91.108.56.115,5222,,91.108.56.115,91.108.56.115:5222,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:31"" level=info msg=""192.168.100.110:47774 <-> 91.108.56.115:5222"" dialer=HK-3 dscp=0 ip=""91.108.56.115:5222"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:17:32,Jan 21 17:17:32,192.168.100.110,37238,149.154.171.255,443,,149.154.171.255,149.154.171.255:443,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:32"" level=info msg=""192.168.100.110:37238 <-> 149.154.171.255:443"" dialer=HK-3 dscp=0 ip=""149.154.171.255:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:17:32,Jan 21 17:17:32,192.168.100.110,37240,149.154.171.255,443,,149.154.171.255,149.154.171.255:443,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:32"" level=info msg=""192.168.100.110:37240 <-> 149.154.171.255:443"" dialer=HK-3 dscp=0 ip=""149.154.171.255:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:17:33,Jan 21 17:17:33,192.168.100.110,48894,91.108.56.134,5222,,91.108.56.134,91.108.56.134:5222,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:33"" level=info msg=""192.168.100.110:48894 <-> 91.108.56.134:5222"" dialer=HK-3 dscp=0 ip=""91.108.56.134:5222"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:17:49,Jan 21 17:17:49,192.168.100.110,50290,profile.accounts.firefox.com,443,profile.accounts.firefox.com,profile.accounts.firefox.com,151.101.129.91:443,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:49"" level=info msg=""192.168.100.110:50290 <-> profile.accounts.firefox.com:443"" dialer=sing-box-10000 dscp=0 ip=""151.101.129.91:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed=profile.accounts.firefox.com"
2026-01-22 01:17:54,Jan 21 17:17:54,192.168.100.110,41400,detectportal.firefox.com,80,detectportal.firefox.com,detectportal.firefox.com,34.107.221.82:80,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:54"" level=info msg=""192.168.100.110:41400 <-> detectportal.firefox.com:80"" dialer=sing-box-10000 dscp=0 ip=""34.107.221.82:80"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed=detectportal.firefox.com"
2026-01-22 01:17:54,Jan 21 17:17:54,192.168.100.110,41410,detectportal.firefox.com,80,detectportal.firefox.com,detectportal.firefox.com,34.107.221.82:80,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:54"" level=info msg=""192.168.100.110:41410 <-> detectportal.firefox.com:80"" dialer=sing-box-10000 dscp=0 ip=""34.107.221.82:80"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed=detectportal.firefox.com"
2026-01-22 01:17:54,Jan 21 17:17:54,192.168.100.110,60608,sync-1-us-west1-g.sync.services.mozilla.com,443,sync-1-us-west1-g.sync.services.mozilla.com,sync-1-us-west1-g.sync.services.mozilla.com,151.101.129.91:443,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:54"" level=info msg=""192.168.100.110:60608 <-> sync-1-us-west1-g.sync.services.mozilla.com:443"" dialer=sing-box-10000 dscp=0 ip=""151.101.129.91:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed=sync-1-us-west1-g.sync.services.mozilla.com"
